mfcc_0_mean,mfcc_0_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,zcr_mean,zcr_std,spec_centroid_mean,spec_centroid_std,spec_rolloff_mean,spec_bandwidth_mean,rms_mean,rms_std,chroma_mean,label,label_idx
-420.4884,189.63887,48.292694,57.157524,-21.498829,33.977394,15.260936,22.578997,-8.739077,19.379015,-4.1943235,9.428577,-16.34458,22.789213,-3.0201662,6.1536684,-7.699,11.606941,-1.6141737,5.87995,-4.8460426,7.4683814,-12.790614,18.477083,1.6332058,4.5791492,0.05494005926724138,0.05894900898391396,992.2592866853212,1081.5111862350136,1891.7042699353449,864.4257103654523,0.041314278,0.07226372,0.20112325,covid,0
-436.7314,203.6035,57.390026,63.09481,-27.640572,36.913925,16.687773,24.698154,-8.017245,23.778353,-2.413778,11.591021,-19.1637,23.30339,-6.0414686,9.652492,-7.2233887,10.151487,4.77096,8.825612,-3.404666,7.3128834,-15.425028,17.335005,0.25473654,8.558378,0.06559806034482758,0.06283875783023633,1120.2574800252346,1084.6301595020275,1999.865301724138,930.9545345462734,0.036105506,0.060528416,0.24170725,covid,0
-413.83954,210.95953,54.121094,57.00837,-25.539877,40.417027,16.734144,25.441221,-13.689052,21.752886,-5.746722,11.568061,-21.098682,25.438776,-2.0390787,5.8677583,-10.600547,16.824408,0.31089488,7.5508976,-6.0289645,8.344543,-17.873257,20.078516,1.2713525,9.861909,0.07948320761494253,0.061468376557297234,1455.9585796770386,1212.8004705504948,2737.1918776939656,1223.2930433595252,0.04891615,0.07662354,0.25459194,covid,0
-413.6188,220.25023,54.54848,59.43591,-38.348637,48.387684,20.889997,28.022354,-12.374542,17.447783,-5.379435,10.593009,-16.370153,24.376255,5.284734,11.687623,-11.583274,18.389456,-4.43298,8.991715,-7.2175355,10.227492,-17.164003,22.08475,6.3640237,11.568388,0.07838317169540229,0.0808658710257121,1176.6384942955563,1170.4573176911435,2055.430866109914,879.1324538870032,0.04896263,0.07309227,0.22636485,covid,0
-517.35236,201.0391,27.922483,44.758427,-16.430384,36.818386,12.801261,23.856583,-8.289811,16.1276,9.869137,25.612038,-8.235319,15.974433,1.136426,5.7524652,-2.5851796,8.74815,-6.626824,12.630184,-1.5933269,6.0199733,-3.361605,7.7621994,-3.1336002,8.1802435,0.049035784841954026,0.07813989369050783,775.0976801170222,1161.6414155638138,1548.9055765086207,607.5019252338186,0.02750456,0.06441028,0.12171079,covid,0
-359.66138,255.36058,63.531574,67.17147,-45.03262,54.93924,22.758537,26.660463,-29.798996,40.583797,10.339729,17.025948,-20.31686,26.475653,-3.1695178,6.328195,-8.969635,11.07218,-8.58174,10.16022,-7.805895,11.091719,-10.183511,11.867171,3.7532454,7.6785455,0.08602729885057471,0.09516495284965855,1330.2057563878423,1342.7560732084337,2372.6124730603447,985.1039715076241,0.081620224,0.09705455,0.2564705,covid,0
-577.73987,179.50037,39.715897,64.90645,-14.166355,36.121685,-0.8753754,9.752487,-10.566813,20.582842,2.158464,9.043939,-8.058609,14.210697,-1.0862252,7.8619018,-5.150309,11.59843,0.6414907,3.0219061,0.5430889,5.1606455,-5.540076,10.08813,-2.510559,5.4950585,0.0471051095545977,0.07796227493624908,741.9871954191093,1145.437048799834,1312.2878502155172,587.1613280169914,0.015182591,0.041542962,0.13862637,covid,0
-409.0872,256.81262,42.02717,52.81962,-35.910595,51.323574,25.254938,35.35849,-27.625746,35.8118,9.413652,15.541339,-19.292173,25.138746,-2.7963288,5.6216507,-6.878379,11.411595,-6.7361736,10.245646,-6.4075656,10.038772,-6.9019313,9.922708,6.1216846,8.744444,0.07990975215517242,0.09991527310256491,1189.1067866846145,1446.1327324605704,2160.003030711207,826.290832508446,0.05814571,0.08040915,0.18957473,covid,0
-536.17316,187.60713,25.950577,51.61181,-12.295711,25.707851,10.943046,24.270237,-6.790877,17.46001,3.6991725,8.585622,-4.90313,11.874538,0.22441906,2.638757,-6.5072217,13.9495535,1.859704,3.8980145,2.5479894,5.070393,-4.0955095,8.775193,0.52382857,2.57857,0.03228829920977012,0.06092304289160296,560.4977152553348,1076.733328998082,1071.5862405711207,455.7167398498219,0.018754954,0.046679035,0.10854807,healthy,1
-513.3424,167.35564,28.475626,54.270733,-9.079544,24.014814,10.195899,18.751118,-7.5480213,14.747209,4.189555,9.82587,-5.816603,11.533513,-4.0635185,11.1943445,-3.6124775,12.120459,-0.20027395,6.4205832,1.3671186,4.08443,-5.3233013,11.190455,-2.4697108,6.360725,0.043647853807471264,0.08552118327372464,658.7850322121539,1162.7447717167393,1238.654195851293,519.6315473929627,0.01812148,0.044230983,0.13028233,healthy,1
